,Unnamed: 0,Player,Age,Team,Games Played,Minutes Played,PTS,FG%,3P%,FT%,Offensive Production per Minute,True Shooting,3PAr,TRB%,Field Goals Assisted,Possessions end by steal,Two-point attempts blocked,Turnovers per 100 plays,Plays Used,Win Shares,Box Plus/Minus,Value Over Replacement,Salary,Win_Pct,Salary_log,Archetype_ID,Player_Archetype,Predicted_Salary,Value_Gap
0,0,Shai Gilgeous-Alexander,26.0,OKC,76.0,34.2,32.7,0.519,0.375,0.898,30.7,0.637,0.263,7.8,31.3,2.4,3.0,8.6,34.8,16.7,11.5,8.9,38333050.0,0.829,17.461823032414898,0,Elite Creator / Franchise Star,46785309.0030404,-8452259.003040403
1,1,Giannis Antetokounmpo,30.0,MIL,67.0,34.2,30.4,0.601,0.222,0.617,30.5,0.625,0.048,19.0,36.0,1.2,3.2,11.2,35.2,11.5,9.5,6.6,54126450.0,0.585,17.80683355224168,0,Elite Creator / Franchise Star,52713544.47125282,1412905.5287471786
2,2,Nikola JokiÄ‡,29.0,DEN,70.0,36.7,29.6,0.576,0.417,0.8,32.0,0.663,0.243,19.1,44.1,2.4,1.6,12.8,29.5,16.4,13.3,9.8,55224526.0,0.61,17.826917742272254,0,Elite Creator / Franchise Star,53418561.1518858,1805964.8481142
3,3,Luka DonÄiÄ‡,25.0,LAL,50.0,35.4,28.2,0.45,0.368,0.782,24.1,0.587,0.469,12.8,36.1,2.5,1.1,13.0,33.9,5.9,6.7,3.9,45999660.0,0.61,17.644144584860996,0,Elite Creator / Franchise Star,46057764.02762206,-58104.02762205899
4,4,Anthony Edwards,23.0,MIN,79.0,36.3,27.6,0.447,0.395,0.837,20.1,0.595,0.503,8.7,20.9,1.6,1.7,12.0,31.4,8.4,4.3,4.6,45550512.0,0.598,17.634332443955888,0,Elite Creator / Franchise Star,37865441.52958514,7685070.470414862
5,5,Jayson Tatum,26.0,BOS,72.0,36.4,26.8,0.452,0.343,0.814,21.7,0.582,0.497,12.9,27.0,1.5,1.3,11.2,31.2,9.5,5.2,4.8,54126450.0,0.744,17.80683355224168,0,Elite Creator / Franchise Star,45860405.20042103,8266044.799578972
6,6,Kevin Durant,36.0,PHO,62.0,36.5,26.6,0.527,0.43,0.839,21.2,0.642,0.331,9.2,19.6,1.1,3.2,12.9,28.7,5.2,3.2,3.0,54708609.0,0.439,17.817531659027434,7,High - Impact Starter / Primary Option,49583722.79559528,5124886.204404719
7,7,Tyrese Maxey,24.0,PHI,52.0,37.7,26.3,0.437,0.337,0.879,19.5,0.562,0.438,5.0,28.0,2.3,1.1,9.2,29.8,3.8,2.0,2.0,37958760.0,0.293,17.452010891552664,3,High Volume Inefficient Scorer,37238000.26418875,720759.7358112484
8,8,Cade Cunningham,23.0,DET,70.0,35.0,26.1,0.469,0.356,0.846,20.6,0.565,0.287,9.6,43.0,1.4,2.1,16.0,33.2,5.9,3.9,3.7,46394100.0,0.537,17.652682875493632,0,Elite Creator / Franchise Star,40979674.08656606,5414425.913433939
9,9,Jalen Brunson,28.0,NYK,65.0,35.4,26.0,0.488,0.383,0.821,21.6,0.605,0.331,4.7,32.3,1.3,0.3,10.5,29.5,8.3,3.3,3.1,34944001.0,0.622,17.369257395321146,7,High - Impact Starter / Primary Option,49323788.38958315,-14379787.389583148
10,10,Paolo Banchero,22.0,ORL,46.0,34.4,25.9,0.452,0.32,0.727,20.0,0.551,0.299,12.5,26.0,1.1,1.7,11.2,33.6,3.5,3.5,2.2,15334769.0,0.5,16.54563335704827,3,High Volume Inefficient Scorer,24635849.732960064,-9301080.732960064
11,11,Devin Booker,28.0,PHO,75.0,37.3,25.6,0.461,0.332,0.894,19.3,0.589,0.388,6.1,30.6,1.2,0.5,11.9,29.3,6.4,0.4,1.7,53142264.0,0.439,17.788483120646912,7,High - Impact Starter / Primary Option,45968323.74128244,7173940.258717559
12,12,LaMelo Ball,23.0,CHO,47.0,32.0,25.2,0.405,0.339,0.843,19.1,0.536,0.526,8.2,43.8,1.8,0.8,13.1,35.9,2.0,3.2,2.0,37958760.0,0.232,17.452010891552664,3,High Volume Inefficient Scorer,30869835.255859166,7088924.744140834
13,13,Damian Lillard,34.0,MIL,58.0,36.1,24.9,0.448,0.376,0.921,21.3,0.621,0.528,7.1,29.7,1.6,0.4,12.2,27.8,7.6,4.0,3.2,68230450.0,0.585,18.038401518765365,7,High - Impact Starter / Primary Option,52225323.896272674,16005126.103727326
14,14,Anthony Davis,31.0,LAL,51.0,33.5,24.7,0.516,0.282,0.775,26.3,0.588,0.136,19.4,18.3,1.7,6.0,9.5,30.4,6.7,5.4,3.2,54126450.0,0.61,17.80683355224168,0,Elite Creator / Franchise Star,49450179.33616624,4676270.66383376
15,15,Kyrie Irving,32.0,DAL,50.0,36.1,24.7,0.473,0.401,0.916,19.9,0.594,0.38,7.2,20.5,1.8,1.1,9.7,27.4,4.6,3.4,2.5,36566002.0,0.476,17.414629486914013,7,High - Impact Starter / Primary Option,41652384.214466155,-5086382.214466155
16,16,Zion Williamson,24.0,NOP,30.0,28.6,24.6,0.567,0.231,0.656,27.3,0.6,0.026,13.6,36.6,2.1,3.0,12.8,34.7,2.5,7.0,1.9,39446090.0,0.256,17.4904455128942,3,High Volume Inefficient Scorer,37508156.118811615,1937933.8811883852
17,17,Stephen Curry,36.0,GSW,70.0,32.2,24.5,0.448,0.397,0.933,21.5,0.618,0.623,7.4,31.3,1.7,1.3,12.6,29.8,7.9,6.3,4.8,59606817.0,0.585,17.903280521466012,0,Elite Creator / Franchise Star,52200626.85408926,7406190.14591074
18,18,LeBron James,40.0,LAL,70.0,34.9,24.4,0.513,0.376,0.782,22.7,0.604,0.312,12.6,40.3,1.4,1.5,15.5,30.1,7.7,5.6,4.7,52627153.0,0.61,17.778742780245555,0,Elite Creator / Franchise Star,52849501.52132657,-222348.5213265717
19,19,Karl-Anthony Towns,29.0,NYK,72.0,35.0,24.4,0.526,0.42,0.829,23.4,0.63,0.278,21.0,13.8,1.4,1.9,12.1,27.4,10.1,3.6,3.5,53142264.0,0.622,17.788483120646912,0,Elite Creator / Franchise Star,49647219.563430846,3495044.4365691543
20,20,Victor Wembanyama,21.0,SAS,46.0,33.2,24.3,0.476,0.352,0.836,24.2,0.594,0.47,17.7,18.3,1.6,10.4,13.7,30.4,3.8,6.5,3.3,13376880.0,0.415,16.409038476372118,0,Elite Creator / Franchise Star,24414328.910716616,-11037448.910716616
21,21,Franz Wagner,23.0,ORL,60.0,33.7,24.2,0.463,0.295,0.871,20.1,0.558,0.303,9.7,26.6,1.9,1.0,9.6,31.0,5.6,3.1,2.6,38661750.0,0.5,17.470361323010568,7,High - Impact Starter / Primary Option,32077991.762832828,6583758.237167172
22,22,Trae Young,26.0,ATL,76.0,36.0,24.2,0.411,0.34,0.875,18.3,0.567,0.467,4.7,46.4,1.6,0.4,17.9,29.6,5.7,0.5,1.7,45999660.0,0.488,17.644144584860996,7,High - Impact Starter / Primary Option,37813237.348472364,8186422.651527636
23,23,Donovan Mitchell,28.0,CLE,71.0,31.4,24.0,0.443,0.368,0.823,20.9,0.575,0.48,7.8,23.9,2.0,0.7,9.2,30.9,7.6,3.7,3.2,46394100.0,0.78,17.652682875493632,7,High - Impact Starter / Primary Option,40765730.45105056,5628369.548949443
24,24,Cam Thomas,23.0,BRK,25.0,31.2,24.0,0.438,0.349,0.881,18.0,0.575,0.43,6.0,22.9,1.0,0.3,10.6,32.6,1.2,0.3,0.5,5993172.0,0.317,15.606131546035192,3,High Volume Inefficient Scorer,15100128.244937913,-9106956.244937913
25,25,Tyler Herro,25.0,MIA,77.0,35.4,23.9,0.472,0.375,0.878,19.7,0.605,0.486,8.1,26.2,1.3,0.6,11.5,28.0,7.4,3.1,3.5,31000000.0,0.451,17.249497794707484,7,High - Impact Starter / Primary Option,38441161.67987859,-7441161.6798785925
26,26,Joel Embiid,30.0,PHI,19.0,30.2,23.8,0.444,0.299,0.882,23.4,0.58,0.244,15.3,25.6,1.2,3.1,13.7,34.2,1.4,3.5,0.8,55224526.0,0.293,17.826917742272254,3,High Volume Inefficient Scorer,34672359.55821609,20552166.441783912
27,27,De'Aaron Fox,27.0,SAC,62.0,36.1,23.5,0.463,0.31,0.827,18.3,0.56,0.328,7.4,27.2,2.0,1.1,11.8,28.3,4.3,0.4,1.3,37096620.0,0.488,17.42903644526268,3,High Volume Inefficient Scorer,35672468.48407325,1424151.5159267485
28,28,Zach LaVine,29.0,CHI,74.0,35.2,23.3,0.511,0.446,0.825,17.3,0.639,0.438,6.5,18.3,1.1,0.4,13.4,25.3,5.1,0.7,1.8,47499660.0,0.476,17.6762331321373,7,High - Impact Starter / Primary Option,36368940.37005424,11130719.629945762
29,29,Ja Morant,25.0,MEM,50.0,30.4,23.2,0.454,0.309,0.824,19.3,0.563,0.321,7.1,36.0,1.9,0.7,15.2,32.2,3.5,2.4,1.7,39446090.0,0.585,17.4904455128942,3,High Volume Inefficient Scorer,35574823.7367827,3871266.2632173
30,30,James Harden,35.0,LAC,79.0,35.3,22.8,0.41,0.352,0.874,20.0,0.582,0.516,9.3,36.8,2.1,2.0,18.0,29.6,8.3,4.3,4.4,39182693.0,0.61,17.48374572768805,0,Elite Creator / Franchise Star,42976812.55705739,-3794119.557057388
31,31,Jaylen Brown,28.0,BOS,63.0,34.3,22.2,0.463,0.324,0.764,17.8,0.555,0.32,9.3,21.4,1.7,0.8,11.4,28.9,5.2,0.0,1.1,53142264.0,0.744,17.788483120646912,7,High - Impact Starter / Primary Option,30700928.041190147,22441335.958809853
32,32,DeMar DeRozan,35.0,SAC,77.0,35.9,22.2,0.477,0.328,0.857,17.7,0.569,0.196,6.0,18.7,1.1,1.1,6.5,25.0,7.1,-0.1,1.3,24570000.0,0.488,17.0170367851974,7,High - Impact Starter / Primary Option,31100462.080164455,-6530462.080164455
33,33,Brandon Ingram,27.0,NOP,18.0,33.1,22.2,0.465,0.374,0.855,16.0,0.56,0.345,9.1,26.8,1.3,1.8,16.2,30.2,0.0,-0.3,0.3,38095238.0,0.256,17.455599871658777,3,High Volume Inefficient Scorer,18204395.001952928,19890842.998047072
